1396/05/08	応永03年04月01日	2056	丙子	戊子	大	08 乙未 小満	23 庚戌 芒種
1396/06/07	応永03年05月01日	2056	丙子	戊午	小	08 乙丑 夏至	24 辛巳 小暑
1396/07/06	応永03年06月01日	2056	丙子	丁亥	小	10 丙申 大暑	25 辛亥 立秋
1396/08/04	応永03年07月01日	2056	丙子	丙辰	大	11 丙寅 処暑	26 辛巳 白露
1396/09/03	応永03年08月01日	2056	丙子	丙戌	大	12 丁酉 秋分	27 壬子 寒露
1396/10/03	応永03年09月01日	2056	丙子	丙辰	大	12 丁卯 霜降	27 壬午 立冬
1396/11/02	応永03年10月01日	2056	丙子	丙戌	小	12 丁酉 小雪	28 癸丑 大雪
1396/12/01	応永03年11月01日	2056	丙子	乙卯	大	14 戊辰 冬至	29 癸未 小寒
1396/12/31	応永03年12月01日	2056	丙子	乙酉	大	14 戊戌 大寒	30 甲寅 立春
1397/01/30	応永04年01月01日	2057	丁丑	乙卯	小	15 己巳 雨水	
1397/02/28	応永04年02月01日	2057	丁丑	甲申	小	16 己亥 春分	01 甲申 啓蟄
1397/03/29	応永04年03月01日	2057	丁丑	癸丑	大	18 庚午 穀雨	02 甲寅 清明
1397/04/28	応永04年04月01日	2057	丁丑	癸未	小	18 庚子 小満	03 乙酉 立夏
1397/05/27	応永04年05月01日	2057	丁丑	壬子	小	20 辛未 夏至	04 乙卯 芒種
1397/06/25	応永04年06月01日	2057	丁丑	辛巳	大	21 辛丑 大暑	06 丙戌 小暑
1397/07/25	応永04年07月01日	2057	丁丑	辛亥	小	21 辛未 処暑	06 丙辰 立秋
1397/08/23	応永04年08月01日	2057	丁丑	庚辰	大	23 壬寅 秋分	08 丁亥 白露
1397/09/22	応永04年09月01日	2057	丁丑	庚戌	大	23 壬申 霜降	08 丁巳 寒露
1397/10/22	応永04年10月01日	2057	丁丑	庚辰	小	24 癸卯 小雪	09 戊子 立冬
1397/11/20	応永04年11月01日	2057	丁丑	己酉	大	25 癸酉 冬至	10 戊午 大雪
1397/12/20	応永04年12月01日	2057	丁丑	己卯	大	26 甲辰 大寒	10 戊子 小寒
1398/01/19	応永05年01月01日	2058	戊寅	己酉	大	26 甲戌 雨水	11 己未 立春
1398/02/18	応永05年02月01日	2058	戊寅	己卯	小	26 甲辰 春分	11 己丑 啓蟄
1398/03/19	応永05年03月01日	2058	戊寅	戊申	小	28 乙亥 穀雨	13 庚申 清明
1398/04/17	応永05年04月01日	2058	戊寅	丁丑	大	29 乙巳 小満	14 庚寅 立夏
1398/05/17	応永05年閏04月01日	2058	戊寅	丁未	小		15 辛酉 芒種
1398/06/15	応永05年05月01日	2058	戊寅	丙子	小	01 丙子 夏至	16 辛卯 小暑
1398/07/14	応永05年06月01日	2058	戊寅	乙巳	大	02 丙午 大暑	17 辛酉 立秋
1398/08/13	応永05年07月01日	2058	戊寅	乙亥	小	03 丁丑 処暑	18 壬辰 白露
1398/09/11	応永05年08月01日	2058	戊寅	甲辰	大	04 丁未 秋分	19 壬戌 寒露
1398/10/11	応永05年09月01日	2058	戊寅	甲戌	小	05 戊寅 霜降	20 癸巳 立冬
1398/11/09	応永05年10月01日	2058	戊寅	癸卯	大	06 戊申 小雪	21 癸亥 大雪
1398/12/09	応永05年11月01日	2058	戊寅	癸酉	大	06 戊寅 冬至	22 甲午 小寒
1399/01/08	応永05年12月01日	2058	戊寅	癸卯	大	07 己酉 大寒	22 甲子 立春
1399/02/07	応永06年01月01日	2059	己卯	癸酉	小	07 己卯 雨水	23 乙未 啓蟄
1399/03/08	応永06年02月01日	2059	己卯	壬寅	大	09 庚戌 春分	24 乙丑 清明
1399/04/07	応永06年03月01日	2059	己卯	壬申	小	09 庚辰 穀雨	24 乙未 立夏
1399/05/06	応永06年04月01日	2059	己卯	辛丑	大	11 辛亥 小満	26 丙寅 芒種
1399/06/05	応永06年05月01日	2059	己卯	辛未	小	11 辛巳 夏至	26 丙申 小暑
1399/07/04	応永06年06月01日	2059	己卯	庚子	小	12 辛亥 大暑	28 丁卯 立秋
1399/08/02	応永06年07月01日	2059	己卯	己巳	大	14 壬午 処暑	29 丁酉 白露
1399/09/01	応永06年08月01日	2059	己卯	己亥	小	14 壬子 秋分	
1399/09/30	応永06年09月01日	2059	己卯	戊辰	大	16 癸未 霜降	01 戊辰 寒露
1399/10/30	応永06年10月01日	2059	己卯	戊戌	小	16 癸丑 小雪	01 戊戌 立冬
1399/11/28	応永06年11月01日	2059	己卯	丁卯	大	18 甲申 冬至	02 戊辰 大雪
1399/12/28	応永06年12月01日	2059	己卯	丁酉	大	18 甲寅 大寒	03 己亥 小寒
1400/01/27	応永07年01月01日	2060	庚辰	丁卯	小	19 乙酉 雨水	03 己巳 立春
1400/02/25	応永07年02月01日	2060	庚辰	丙申	大	20 乙卯 春分	05 庚子 啓蟄
1400/03/26	応永07年03月01日	2060	庚辰	丙寅	大	20 乙酉 穀雨	05 庚午 清明
1400/04/25	応永07年04月01日	2060	庚辰	丙申	小	21 丙辰 小満	06 辛丑 立夏
1400/05/24	応永07年05月01日	2060	庚辰	乙丑	大	22 丙戌 夏至	07 辛未 芒種
1400/06/23	応永07年06月01日	2060	庚辰	乙未	小	23 丁巳 大暑	08 壬寅 小暑
1400/07/22	応永07年07月01日	2060	庚辰	甲子	小	24 丁亥 処暑	09 壬申 立秋
1400/08/20	応永07年08月01日	2060	庚辰	癸巳	大	26 戊午 秋分	10 壬寅 白露
1400/09/19	応永07年09月01日	2060	庚辰	癸亥	小	26 戊子 霜降	11 癸酉 寒露
1400/10/18	応永07年10月01日	2060	庚辰	壬辰	大	27 戊午 小雪	12 癸卯 立冬
1400/11/17	応永07年11月01日	2060	庚辰	壬戌	小	28 己丑 冬至	13 甲戌 大雪
1400/12/16	応永07年12月01日	2060	庚辰	辛卯	大	29 己未 大寒	14 甲辰 小寒
1401/01/15	応永08年01月01日	2061	辛巳	辛酉	大	30 庚寅 雨水	15 乙亥 立春
1401/02/14	応永08年閏01月01日	2061	辛巳	辛卯	小		15 乙巳 啓蟄
1401/03/15	応永08年02月01日	2061	辛巳	庚申	大	01 庚申 春分	16 乙亥 清明
1401/04/14	応永08年03月01日	2061	辛巳	庚寅	大	02 辛卯 穀雨	17 丙午 立夏
1401/05/14	応永08年04月01日	2061	辛巳	庚申	小	02 辛酉 小満	17 丙子 芒種
1401/06/12	応永08年05月01日	2061	辛巳	己丑	大	04 壬辰 夏至	19 丁未 小暑
1401/07/12	応永08年06月01日	2061	辛巳	己未	小	04 壬戌 大暑	19 丁丑 立秋
1401/08/10	応永08年07月01日	2061	辛巳	戊子	小	05 壬辰 処暑	21 戊申 白露
1401/09/08	応永08年08月01日	2061	辛巳	丁巳	大	07 癸亥 秋分	22 戊寅 寒露
1401/10/08	応永08年09月01日	2061	辛巳	丁亥	小	07 癸巳 霜降	22 戊申 立冬
1401/11/06	応永08年10月01日	2061	辛巳	丙辰	大	09 甲子 小雪	24 己卯 大雪
1401/12/06	応永08年11月01日	2061	辛巳	丙戌	小	09 甲午 冬至	24 己酉 小寒
1402/01/04	応永08年12月01日	2061	辛巳	乙卯	大	11 乙丑 大寒	26 庚辰 立春
1402/02/03	応永09年01月01日	2062	壬午	乙酉	小	11 乙未 雨水	26 庚戌 啓蟄
1402/03/04	応永09年02月01日	2062	壬午	甲寅	大	12 乙丑 春分	28 辛巳 清明
1402/04/03	応永09年03月01日	2062	壬午	甲申	大	13 丙申 穀雨	28 辛亥 立夏
1402/05/03	応永09年04月01日	2062	壬午	甲寅	小	13 丙寅 小満	29 壬午 芒種
1402/06/01	応永09年05月01日	2062	壬午	癸未	大	15 丁酉 夏至	30 壬子 小暑
1402/07/01	応永09年06月01日	2062	壬午	癸丑	小	15 丁卯 大暑	
1402/07/30	応永09年07月01日	2062	壬午	壬午	大	17 戊戌 処暑	01 壬午 立秋
1402/08/29	応永09年08月01日	2062	壬午	壬子	小	17 戊辰 秋分	02 癸丑 白露
1402/09/27	応永09年09月01日	2062	壬午	辛巳	大	19 己亥 霜降	03 癸未 寒露
1402/10/27	応永09年10月01日	2062	壬午	辛亥	小	19 己巳 小雪	04 甲寅 立冬
1402/11/25	応永09年11月01日	2062	壬午	庚辰	大	20 己亥 冬至	05 甲申 大雪
1402/12/25	応永09年12月01日	2062	壬午	庚戌	小	21 庚午 大寒	06 乙卯 小寒
1403/01/23	応永10年01月01日	2063	癸未	己卯	大	22 庚子 雨水	07 乙酉 立春
1403/02/22	応永10年02月01日	2063	癸未	己酉	小	23 辛未 春分	07 乙卯 啓蟄
1403/03/23	応永10年03月01日	2063	癸未	戊寅	大	24 辛丑 穀雨	09 丙戌 清明
1403/04/22	応永10年04月01日	2063	癸未	戊申	小	25 壬申 小満	09 丙辰 立夏
1403/05/21	応永10年05月01日	2063	癸未	丁丑	大	26 壬寅 夏至	11 丁亥 芒種
1403/06/20	応永10年06月01日	2063	癸未	丁未	大	26 壬申 大暑	11 丁巳 小暑
1403/07/20	応永10年07月01日	2063	癸未	丁丑	小	27 癸卯 処暑	12 戊子 立秋
1403/08/18	応永10年08月01日	2063	癸未	丙午	大	28 癸酉 秋分	13 戊午 白露
1403/09/17	応永10年09月01日	2063	癸未	丙子	小	29 甲辰 霜降	14 己丑 寒露
1403/10/16	応永10年10月01日	2063	癸未	乙巳	大	30 甲戌 小雪	15 己未 立冬
1403/11/15	応永10年閏10月01日	2063	癸未	乙亥	小		15 己丑 大雪
1403/12/14	応永10年11月01日	2063	癸未	甲辰	大	02 乙巳 冬至	17 庚申 小寒
1404/01/13	応永10年12月01日	2063	癸未	甲戌	小	02 乙亥 大寒	17 庚寅 立春
1404/02/11	応永11年01月01日	2064	甲申	癸卯	大	04 丙午 雨水	19 辛酉 啓蟄
1404/03/12	応永11年02月01日	2064	甲申	癸酉	小	04 丙子 春分	19 辛卯 清明
1404/04/10	応永11年03月01日	2064	甲申	壬寅	大	05 丙午 穀雨	21 壬戌 立夏
1404/05/10	応永11年04月01日	2064	甲申	壬申	小	06 丁丑 小満	21 壬辰 芒種
1404/06/08	応永11年05月01日	2064	甲申	辛丑	大	07 丁未 夏至	22 壬戌 小暑
1404/07/08	応永11年06月01日	2064	甲申	辛未	小	08 戊寅 大暑	23 癸巳 立秋
1404/08/06	応永11年07月01日	2064	甲申	庚子	大	09 戊申 処暑	24 癸亥 白露
1404/09/05	応永11年08月01日	2064	甲申	庚午	大	10 己卯 秋分	25 甲午 寒露
1404/10/05	応永11年09月01日	2064	甲申	庚子	小	10 己酉 霜降	25 甲子 立冬
1404/11/03	応永11年10月01日	2064	甲申	己巳	大	11 己卯 小雪	27 乙未 大雪
1404/12/03	応永11年11月01日	2064	甲申	己亥	小	12 庚戌 冬至	27 乙丑 小寒
1405/01/01	応永11年12月01日	2064	甲申	戊辰	大	13 庚辰 大寒	29 丙申 立春
1405/01/31	応永12年01月01日	2065	乙酉	戊戌	小	14 辛亥 雨水	29 丙寅 啓蟄
1405/03/01	応永12年02月01日	2065	乙酉	丁卯	大	15 辛巳 春分	30 丙申 清明
1405/03/31	応永12年03月01日	2065	乙酉	丁酉	小	16 壬子 穀雨	
1405/04/29	応永12年04月01日	2065	乙酉	丙寅	小	17 壬午 小満	02 丁卯 立夏
1405/05/28	応永12年05月01日	2065	乙酉	乙未	大	19 癸丑 夏至	03 丁酉 芒種
1405/06/27	応永12年06月01日	2065	乙酉	乙丑	小	19 癸未 大暑	04 戊辰 小暑
1405/07/26	応永12年07月01日	2065	乙酉	甲午	大	20 癸丑 処暑	05 戊戌 立秋
1405/08/25	応永12年08月01日	2065	乙酉	甲子	大	21 甲申 秋分	06 己巳 白露
1405/09/24	応永12年09月01日	2065	乙酉	甲午	小	21 甲寅 霜降	06 己亥 寒露
1405/10/23	応永12年10月01日	2065	乙酉	癸亥	大	23 乙酉 小雪	07 己巳 立冬
1405/11/22	応永12年11月01日	2065	乙酉	癸巳	大	23 乙卯 冬至	08 庚子 大雪
1405/12/22	応永12年12月01日	2065	乙酉	癸亥	小	24 丙戌 大寒	08 庚午 小寒
1406/01/20	応永13年01月01日	2066	丙戌	壬辰	大	25 丙辰 雨水	10 辛丑 立春
1406/02/19	応永13年02月01日	2066	丙戌	壬戌	小	25 丙戌 春分	10 辛未 啓蟄
1406/03/20	応永13年03月01日	2066	丙戌	辛卯	大	27 丁巳 穀雨	12 壬寅 清明
1406/04/19	応永13年04月01日	2066	丙戌	辛酉	小	27 丁亥 小満	12 壬申 立夏
1406/05/18	応永13年05月01日	2066	丙戌	庚寅	小	29 戊午 夏至	14 癸卯 芒種
1406/06/16	応永13年06月01日	2066	丙戌	己未	大	30 戊子 大暑	15 癸酉 小暑
1406/07/16	応永13年閏06月01日	2066	丙戌	己丑	小		15 癸卯 立秋
1406/08/14	応永13年07月01日	2066	丙戌	戊午	大	02 己未 処暑	17 甲戌 白露
1406/09/13	応永13年08月01日	2066	丙戌	戊子	小	02 己丑 秋分	17 甲辰 寒露
1406/10/12	応永13年09月01日	2066	丙戌	丁巳	大	04 庚申 霜降	19 乙亥 立冬
1406/11/11	応永13年10月01日	2066	丙戌	丁亥	大	04 庚寅 小雪	19 乙巳 大雪
1406/12/11	応永13年11月01日	2066	丙戌	丁巳	大	04 庚申 冬至	20 丙子 小寒
1407/01/10	応永13年12月01日	2066	丙戌	丁亥	小	05 辛卯 大寒	20 丙午 立春
1407/02/08	応永14年01月01日	2067	丁亥	丙辰	大	06 辛酉 雨水	21 丙子 啓蟄
1407/03/10	応永14年02月01日	2067	丁亥	丙戌	小	07 壬辰 春分	22 丁未 清明
1407/04/08	応永14年03月01日	2067	丁亥	乙卯	大	08 壬戌 穀雨	23 丁丑 立夏
1407/05/08	応永14年04月01日	2067	丁亥	乙酉	小	09 癸巳 小満	24 戊申 芒種
1407/06/06	応永14年05月01日	2067	丁亥	甲寅	小	10 癸亥 夏至	25 戊寅 小暑
1407/07/05	応永14年06月01日	2067	丁亥	癸未	大	11 癸巳 大暑	27 己酉 立秋
1407/08/04	応永14年07月01日	2067	丁亥	癸丑	小	12 甲子 処暑	27 己卯 白露
1407/09/02	応永14年08月01日	2067	丁亥	壬午	大	13 甲午 秋分	29 庚戌 寒露
1407/10/02	応永14年09月01日	2067	丁亥	壬子	小	14 乙丑 霜降	29 庚辰 立冬
1407/10/31	応永14年10月01日	2067	丁亥	辛巳	大	15 乙未 小雪	30 庚戌 大雪
1407/11/30	応永14年11月01日	2067	丁亥	辛亥	大	16 丙寅 冬至	
1407/12/30	応永14年12月01日	2067	丁亥	辛巳	大	16 丙申 大寒	01 辛巳 小寒
1408/01/29	応永15年01月01日	2068	戊子	辛亥	小	16 丙寅 雨水	01 辛亥 立春
1408/02/27	応永15年02月01日	2068	戊子	庚辰	大	18 丁酉 春分	03 壬午 啓蟄
1408/03/28	応永15年03月01日	2068	戊子	庚戌	小	18 丁卯 穀雨	03 壬子 清明
1408/04/26	応永15年04月01日	2068	戊子	己卯	大	20 戊戌 小満	05 癸未 立夏
1408/05/26	応永15年05月01日	2068	戊子	己酉	小	20 戊辰 夏至	05 癸丑 芒種
1408/06/24	応永15年06月01日	2068	戊子	戊寅	小	22 己亥 大暑	06 癸未 小暑
1408/07/23	応永15年07月01日	2068	戊子	丁未	大	23 己巳 処暑	08 甲寅 立秋
1408/08/22	応永15年08月01日	2068	戊子	丁丑	小	24 庚子 秋分	08 甲申 白露
1408/09/20	応永15年09月01日	2068	戊子	丙午	大	25 庚午 霜降	10 乙卯 寒露
1408/10/20	応永15年10月01日	2068	戊子	丙子	小	25 庚子 小雪	10 乙酉 立冬
1408/11/18	応永15年11月01日	2068	戊子	乙巳	大	27 辛未 冬至	12 丙辰 大雪
1408/12/18	応永15年12月01日	2068	戊子	乙亥	大	27 辛丑 大寒	12 丙戌 小寒
1409/01/17	応永16年01月01日	2069	己丑	乙巳	小	28 壬申 雨水	13 丁巳 立春
1409/02/15	応永16年02月01日	2069	己丑	甲戌	大	29 壬寅 春分	14 丁亥 啓蟄
1409/03/17	応永16年03月01日	2069	己丑	甲辰	大	30 癸酉 穀雨	14 丁巳 清明
1409/04/16	応永16年閏03月01日	2069	己丑	甲戌	小		15 戊子 立夏
1409/05/15	応永16年04月01日	2069	己丑	癸卯	大	01 癸卯 小満	16 戊午 芒種
1409/06/14	応永16年05月01日	2069	己丑	癸酉	小	01 癸酉 夏至	17 己丑 小暑
1409/07/13	応永16年06月01日	2069	己丑	壬寅	小	03 甲辰 大暑	18 己未 立秋
1409/08/11	応永16年07月01日	2069	己丑	辛未	大	04 甲戌 処暑	20 庚寅 白露
1409/09/10	応永16年08月01日	2069	己丑	辛丑	小	05 乙巳 秋分	20 庚申 寒露
1409/10/09	応永16年09月01日	2069	己丑	庚午	大	06 乙亥 霜降	21 庚寅 立冬
1409/11/08	応永16年10月01日	2069	己丑	庚子	小	07 丙午 小雪	22 辛酉 大雪
1409/12/07	応永16年11月01日	2069	己丑	己巳	大	08 丙子 冬至	23 辛卯 小寒
1410/01/06	応永16年12月01日	2069	己丑	己亥	小	09 丁未 大寒	24 壬戌 立春
1410/02/04	応永17年01月01日	2070	庚寅	戊辰	大	10 丁丑 雨水	25 壬辰 啓蟄
1410/03/06	応永17年02月01日	2070	庚寅	戊戌	大	10 丁未 春分	26 癸亥 清明
1410/04/05	応永17年03月01日	2070	庚寅	戊辰	小	11 戊寅 穀雨	26 癸巳 立夏
1410/05/04	応永17年04月01日	2070	庚寅	丁酉	大	12 戊申 小満	28 甲子 芒種
1410/06/03	応永17年05月01日	2070	庚寅	丁卯	小	13 己卯 夏至	28 甲午 小暑
1410/07/02	応永17年06月01日	2070	庚寅	丙申	大	14 己酉 大暑	29 甲子 立秋
1410/08/01	応永17年07月01日	2070	庚寅	丙寅	小	15 庚辰 処暑	
1410/08/30	応永17年08月01日	2070	庚寅	乙未	大	16 庚戌 秋分	01 乙未 白露
1410/09/29	応永17年09月01日	2070	庚寅	乙丑	小	16 庚辰 霜降	01 乙丑 寒露
1410/10/28	応永17年10月01日	2070	庚寅	甲午	大	18 辛亥 小雪	03 丙申 立冬
1410/11/27	応永17年11月01日	2070	庚寅	甲子	小	18 辛巳 冬至	03 丙寅 大雪
1410/12/26	応永17年12月01日	2070	庚寅	癸巳	大	20 壬子 大寒	05 丁酉 小寒
1411/01/25	応永18年01月01日	2071	辛卯	癸亥	小	20 壬午 雨水	05 丁卯 立春
1411/02/23	応永18年02月01日	2071	辛卯	壬辰	大	22 癸丑 春分	06 丁酉 啓蟄
1411/03/25	応永18年03月01日	2071	辛卯	壬戌	小	22 癸未 穀雨	07 戊辰 清明
1411/04/23	応永18年04月01日	2071	辛卯	辛卯	大	24 甲寅 小満	08 戊戌 立夏
1411/05/23	応永18年05月01日	2071	辛卯	辛酉	大	24 甲申 夏至	09 己巳 芒種
1411/06/22	応永18年06月01日	2071	辛卯	辛卯	小	24 甲寅 大暑	09 己亥 小暑
1411/07/21	応永18年07月01日	2071	辛卯	庚申	大	26 乙酉 処暑	11 庚午 立秋
1411/08/20	応永18年08月01日	2071	辛卯	庚寅	小	26 乙卯 秋分	11 庚子 白露
1411/09/18	応永18年09月01日	2071	辛卯	己未	大	28 丙戌 霜降	13 辛未 寒露
1411/10/18	応永18年10月01日	2071	辛卯	己丑	小	28 丙辰 小雪	13 辛丑 立冬
1411/11/16	応永18年閏10月01日	2071	辛卯	戊午	小		14 辛未 大雪
1411/12/15	応永18年11月01日	2071	辛卯	丁亥	大	01 丁亥 冬至	16 壬寅 小寒
1412/01/14	応永18年12月01日	2071	辛卯	丁巳	大	01 丁巳 大寒	16 壬申 立春
1412/02/13	応永19年01月01日	2072	壬辰	丁亥	小	01 丁亥 雨水	17 癸卯 啓蟄
1412/03/13	応永19年02月01日	2072	壬辰	丙辰	大	03 戊午 春分	18 癸酉 清明
1412/04/12	応永19年03月01日	2072	壬辰	丙戌	小	03 戊子 穀雨	19 甲辰 立夏
1412/05/11	応永19年04月01日	2072	壬辰	乙卯	大	05 己未 小満	20 甲戌 芒種
1412/06/10	応永19年05月01日	2072	壬辰	乙酉	小	05 己丑 夏至	20 甲辰 小暑
1412/07/09	応永19年06月01日	2072	壬辰	甲寅	大	07 庚申 大暑	22 乙亥 立秋
1412/08/08	応永19年07月01日	2072	壬辰	甲申	大	07 庚寅 処暑	22 乙巳 白露
1412/09/07	応永19年08月01日	2072	壬辰	甲寅	小	08 辛酉 秋分	23 丙子 寒露
1412/10/06	応永19年09月01日	2072	壬辰	癸未	大	09 辛卯 霜降	24 丙午 立冬
1412/11/05	応永19年10月01日	2072	壬辰	癸丑	小	09 辛酉 小雪	25 丁丑 大雪
1412/12/04	応永19年11月01日	2072	壬辰	壬午	大	11 壬辰 冬至	26 丁未 小寒
1413/01/03	応永19年12月01日	2072	壬辰	壬子	小	11 壬戌 大寒	27 戊寅 立春
1413/02/01	応永20年01月01日	2073	癸巳	辛巳	大	13 癸巳 雨水	28 戊申 啓蟄
1413/03/03	応永20年02月01日	2073	癸巳	辛亥	小	13 癸亥 春分	28 戊寅 清明
1413/04/01	応永20年03月01日	2073	癸巳	庚辰	小	15 甲午 穀雨	
1413/04/30	応永20年04月01日	2073	癸巳	己酉	大	16 甲子 小満	01 己酉 立夏
1413/05/30	応永20年05月01日	2073	癸巳	己卯	小	16 甲午 夏至	01 己卯 芒種
1413/06/28	応永20年06月01日	2073	癸巳	戊申	大	18 乙丑 大暑	03 庚戌 小暑
1413/07/28	応永20年07月01日	2073	癸巳	戊寅	大	18 乙未 処暑	03 庚辰 立秋
1413/08/27	応永20年08月01日	2073	癸巳	戊申	小	19 丙寅 秋分	04 辛亥 白露
1413/09/25	応永20年09月01日	2073	癸巳	丁丑	大	20 丙申 霜降	05 辛巳 寒露
1413/10/25	応永20年10月01日	2073	癸巳	丁未	大	21 丁卯 小雪	05 辛亥 立冬
1413/11/24	応永20年11月01日	2073	癸巳	丁丑	小	21 丁酉 冬至	06 壬午 大雪
1413/12/23	応永20年12月01日	2073	癸巳	丙午	大	23 戊辰 大寒	07 壬子 小寒
1414/01/22	応永21年01月01日	2074	甲午	丙子	小	23 戊戌 雨水	08 癸未 立春
1414/02/20	応永21年02月01日	2074	甲午	乙巳	大	24 戊辰 春分	09 癸丑 啓蟄
